time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:37.,1,0.05,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.03555298,-0.02052307,-1.026138,17.87663,7.185638,-32.46045,288.5728,297.9046,10,-0.08796634,-0.03707733,0.03953436,-2.802512,0.04053613,0.03067913,-0.08230454,-0.03490943,-0.032407,0.005896015,-0.01739087,-0.01650467,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:37.,2,0.1,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.02799988,-0.01965332,-1.016251,17.94646,7.185638,-32.32547,288.509,297.8408,10,-0.05708805,-0.01294376,-0.02686064,-2.801296,0.03892687,0.02835087,-0.02871772,-0.01705557,-0.022508,-0.000510287,0.007839261,-0.02632085,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:37.,3,0.15,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.0423584,-0.03286743,-1.0271,18.121,7.777008,-32.08911,288.4702,297.802,10,-0.1139793,-0.07719119,-0.03777881,-2.800234,0.03725107,0.02791179,-0.04401629,-0.0572328,-0.0224169,0.01352279,0.002761685,-0.03317221,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:37.,4,0.2,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.05157471,-0.01754761,-1.026215,17.98137,7.846558,-32.08911,288.4609,297.7927,10,-0.05931339,-0.07770838,-0.1232607,-2.800855,0.03379511,0.02573043,-0.05091877,-0.1011466,-0.01621714,0.005742775,-0.007139839,-0.03093112,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:37.,5,0.25,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.02694702,-0.01487732,-1.03006,17.28316,7.637909,-32.35922,288.4744,297.8062,10,0.06669275,-0.05187785,0.05137584,-2.805062,0.03219052,0.0250895,0.08327507,-0.04490214,0.003644706,0.01245712,0.02937459,-0.02419384,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:37.,6,0.3,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.01881409,-0.03877258,-1.022018,17.1086,7.394409,-32.12289,288.4507,297.7825,10,-0.04856754,-0.1265936,0.06554359,-2.802478,0.02908773,0.02818168,-0.07820175,-0.1216234,0.0912687,0.001735411,0.007624359,-0.03579307,128.237.254.209,0.0.0.0,5,3
